epoch,train_loss,train_acc,val_loss,val_acc
1,2.41516470263518,0.3633879781420765,0.936818798383077,0.6857142857142857
2,0.7635019693776651,0.7454137392661982,0.5471839102960768,0.8238095238095238
3,0.47745965739928775,0.8414324746291959,0.401733101979785,0.888095238095238
4,0.34171376034768647,0.8830991412958626,0.2919996156933762,0.888095238095238
5,0.259922264808328,0.9112997658079626,0.278299814325458,0.9119047619047619
6,0.21519966622426304,0.927888368462139,0.2684396306321668,0.9119047619047619
7,0.1850166005387053,0.9395979703356753,0.371489143815069,0.8976190476190476
8,0.17747634678357843,0.942720530835285,0.41326697202665463,0.8809523809523809
9,0.15060680175809354,0.9486729117876659,0.31100369007160356,0.9142857142857143
10,0.14787743151025043,0.9527712724434035,0.2578570671591955,0.9166666666666666
11,0.12874015674553374,0.9594067135050741,0.3152143220704082,0.9119047619047619
12,0.12370844351841685,0.9597970335675253,0.25311816469281134,0.9214285714285714
13,0.10435436787280042,0.9650663544106167,0.26298325350549673,0.9333333333333333
14,0.11765113584973518,0.9623341139734582,0.2332398260766197,0.9404761904761905
15,0.10673437532543507,0.964968774395004,0.28962303154098445,0.9261904761904762
16,0.10045657925610195,0.9684816549570648,0.20012177609467124,0.9357142857142857
17,0.11841445657512599,0.9631147540983607,0.20959930001873067,0.9238095238095239
18,0.06710802750395876,0.9795081967213115,0.20904102910651653,0.9452380952380952
19,0.10315887362948509,0.9665300546448088,0.34811422810646814,0.9119047619047619
20,0.07881057455737339,0.9736533957845434,0.24014925602133147,0.9404761904761905
21,0.10007209600797135,0.9695550351288056,0.27369265332683773,0.9214285714285714
22,0.06317109868670527,0.9800936768149883,0.196192665918092,0.9523809523809523
23,0.06313728767277776,0.9791178766588603,0.3321267419507162,0.9142857142857143
24,0.11046806777806358,0.9662373145979704,0.22575544388337654,0.9380952380952381
25,0.0847048728641742,0.975312256049961,0.30494461533185346,0.9238095238095239
26,0.06952637240616351,0.9776541764246682,0.30997744806532174,0.9357142857142857
27,0.054919969420269374,0.982728337236534,0.17626383983794464,0.9452380952380952
28,0.09082020248761175,0.9737509758001561,0.26283895605482116,0.9357142857142857
29,0.062772270038311,0.9810694769711163,0.3498886707161243,0.9047619047619048
30,0.09144844492980272,0.975800156128025,0.22961256887108555,0.9357142857142857
31,0.05830324191187859,0.9823380171740828,0.34620582786128146,0.9285714285714286
32,0.05117829564059478,0.9852654176424668,0.22138567860336134,0.9428571428571428
33,0.06749997851466993,0.9790202966432474,0.21023176665461224,0.9333333333333333
34,0.02513658678450656,0.9919008587041374,0.20299259676305068,0.9571428571428572
35,0.019164472116701955,0.9934621389539422,0.2039286328634435,0.9595238095238096
36,0.01956070239837794,0.9939500390320063,0.17686816495117585,0.9523809523809523
37,0.025261589727011147,0.9929742388758782,0.21161474283941234,0.9523809523809523
38,0.020993888840351214,0.9928766588602654,0.18015937564795464,0.9476190476190476
39,0.016247624073451667,0.9952185792349727,0.23041744884706403,0.9523809523809523
