epoch,train_loss,train_acc,val_loss,val_acc
1,2.2327054026636644,0.3972922502334267,0.8823878567559379,0.6914285714285714
2,0.6783794504420764,0.7752100840336135,0.42675623859677997,0.8742857142857143
3,0.38474339402579016,0.8704481792717087,0.3167085650988988,0.8971428571428571
4,0.32902055159280724,0.888188608776844,0.32595825808388845,0.9142857142857143
5,0.21391172415596876,0.9250700280112045,0.40072217668805804,0.88
6,0.21582431132608657,0.9250700280112045,0.3159904987471444,0.9085714285714286
7,0.1879110054141667,0.9416433239962652,0.4366475520815168,0.8857142857142857
8,0.13659561848412263,0.9565826330532213,0.2573530680792672,0.9371428571428572
9,0.10902083228950073,0.96171802054155,0.29736163411821637,0.92
10,0.13892997795042872,0.9554154995331466,0.2745877760648727,0.9257142857142857
11,0.10691946798485089,0.9633520074696545,0.37784440449305945,0.8914285714285715
12,0.24275116360181964,0.927170868347339,0.45574811594826836,0.8971428571428571
13,0.12739604540398808,0.957983193277311,0.2735543017727988,0.9428571428571428
14,0.08849997113064892,0.9717553688141923,0.3038573442186628,0.9257142857142857
15,0.04708993581474092,0.9845938375350141,0.20320257706301553,0.9485714285714286
16,0.03136447615648449,0.9908963585434174,0.19788498801844462,0.9485714285714286
17,0.028364229876892407,0.9929971988795518,0.24719229960015843,0.9542857142857143
18,0.033814377228822474,0.9890289449112979,0.23884411590439933,0.9485714285714286
19,0.03692968964948903,0.9873949579831933,0.24418562512312617,0.9485714285714286
20,0.03064077258950063,0.9908963585434174,0.2180214579988803,0.9485714285714286
21,0.048075447079876,0.9857609710550888,0.25210626208356446,0.9428571428571428
22,0.04613935304101275,0.9859943977591037,0.23156835785933902,0.9542857142857143
23,0.02116328327769603,0.9939309056956116,0.215016105898789,0.9657142857142857
24,0.016806181689792154,0.9953314659197012,0.20296683307204927,0.96
25,0.012648976036633541,0.9957983193277311,0.2031708277761936,0.96
26,0.015538237328935904,0.996031746031746,0.1918621307185718,0.9657142857142857
27,0.01849754020875193,0.9943977591036415,0.20593393762196813,0.9657142857142857
28,0.01973940844384103,0.9946311858076564,0.21477597295173576,0.9657142857142857
29,0.013856853871501072,0.9957983193277311,0.21521119968699556,0.9657142857142857
30,0.019401430214096963,0.9946311858076564,0.21215899620205164,0.96
31,0.013383395788342415,0.9957983193277311,0.23624410180108887,0.9542857142857143
32,0.01621292481054556,0.9957983193277311,0.20534084513783454,0.96
33,0.01418553314295212,0.9948646125116714,0.22111262140529497,0.9657142857142857
34,0.00777343571199979,0.9981325863678805,0.2241251175744193,0.96
35,0.009125101121566863,0.9976657329598506,0.2288588124247534,0.96
36,0.0122390994819509,0.9964985994397759,0.20725974567234517,0.9657142857142857
37,0.01096956458257513,0.9971988795518207,0.23957417194332395,0.9485714285714286
38,0.008848768432518549,0.9981325863678805,0.22112660633666176,0.96
